Club, Country, Logo, Champion
Arsenal,ENG,http://www.soccerpins.nl/wpimages/wp2a586bce.png, 0
Astana,KAZ,http://www.soccerpins.nl/wpimages/wpb834ec15.png,0
Atlético,ESP,http://www.soccerpins.nl/wpimages/wp4352b25a.png,0
Barcelona,ESP,http://www.soccerpins.nl/wpimages/wpd1893c20.png,1
BATE,BLR,http://www.soccerpins.nl/wpimages/wp80996a4d.png,0
Bayern,GER,http://www.soccerpins.nl/wpimages/wp035b43ef.png,1
Benfica,POR,http://www.soccerpins.nl/wpimages/wp76932112.png,1
Chelsea,ENG,http://www.soccerpins.nl/wpimages/wp1e6e63f5.png,1
CSKA Moskva,RUS,http://www.soccerpins.nl/wpimages/wp3addb605_05.jpg,0
Dinamo Zagreb,CRO,http://www.soccerpins.nl/wpimages/wpa9abd759.png,0
Dynamo Kyiv,UKR,http://www.soccerpins.nl/wpimages/wp9320c19b.png,0
Galatasaray,TUR,http://www.soccerpins.nl/wpimages/wpea1270c8.png,0
Gent,BEL,http://www.soccerpins.nl/wpimages/wpcb4f8602.png,0
Juventus,ITA,http://www.soccerpins.nl/wpimages/wp28824bc8_05.jpg,1
Leverkusen,GER,http://www.soccerpins.nl/wpimages/wpfb33591b.png,0
Lyon,FRA,http://www.soccerpins.nl/wpimages/wpe31ba470.png,0
M. Tel-Aviv,ISR,http://www.soccerpins.nl/wpimages/wp46bb69b0.png,0
Malmö,SWE,http://www.soccerpins.nl/wpimages/wpd1a300b3.png,0
Man. City,ENG,http://www.soccerpins.nl/wpimages/wp052a9bc4.png,0
Man. United,ENG,http://www.soccerpins.nl/wpimages/wpb29fbc19.png,0
Mönchengladbach,GER,http://www.soccerpins.nl/wpimages/wp6b04b4f6.png,0
Olympiacos,GRE,http://www.soccerpins.nl/wpimages/wp94759d1c.png,0
Paris,FRA,http://www.soccerpins.nl/wpimages/wp76890d12_05.jpg,1
Porto,POR,http://www.soccerpins.nl/wpimages/wpe4652f7d.png,0
PSV,NED,http://www.soccerpins.nl/wpimages/wp6007f376.png,1
Real Madrid,ESP,http://www.soccerpins.nl/wpimages/wp054ef59b.png,0
Roma,ITA,http://www.soccerpins.nl/wpimages/wp078bc836.png,0
Sevilla,ESP,http://www.soccerpins.nl/wpimages/wp2143c625.png,0
Shakhtar Donetsk,UKR,http://www.soccerpins.nl/wpimages/wpcb98333c.png,0
Valencia,ESP,http://www.soccerpins.nl/wpimages/wpfcb85c83.png,0
Wolfsburg,GER,http://www.soccerpins.nl/wpimages/wpbd6cdc35.png,0
Zenit,RUS,http://www.soccerpins.nl/wpimages/wp82908c0e.png,1